,Space Science,Sounding Rockets,Physics and Astronomy,Lunar and Planetary,Life Science,Earth Science,Space Applications,Meteorology ,Communications,Other Applications
1959,,"$3,556,170.00","$21,305,114.00","$31,882,607.00",$0.00,,"$4,562,356.00","$987,550.00","$3,574,806.00",$0.00
1960,,"$9,681,000.00","$20,241,114.00","$49,995,900.00",$0.00,,"$10,980,000.00","$7,930,000.00","$3,050,000.00",$0.00
1961,,"$12,330,000.00","$54,398,000.00","$91,019,000.00",$0.00,,"$53,443,000.00","$19,610,000.00","$33,833,000.00",$0.00
1962,,(combined with Physics and Astronomy),"$97,775,000.00","$164,631,000.00","$4,082,000.00",,"$76,237,000.00","$39,696,000.00","$35,591,000.00","$950,000.00"
1963,,,"$147,689,000.00","$222,802,000.00","$13,731,000.00",,"$96,958,000.00","$54,051,000.00","$32,075,000.00","$10,832,000.00"
1964,,,"$148,623,000.00","$205,762,000.00","$21,479,000.00",,"$89,129,000.00","$63,177,000.00","$8,413,000.00","$17,539,000.00"
1965,,,"$139,082,000.00","$206,027,000.00","$28,501,000.00",,"$61,765,000.00","$30,991,000.00","$30,774,000.00",(combined with Comm)
1966,,,"$142,753,000.00","$204,300,000.00","$34,400,000.00",,"$67,214,000.00","$27,790,000.00","$39,424,000.00",
1967,,,"$129,800,000.00","$184,150,000.00","$42,000,000.00",,"$91,486,000.00",(combined into space applications),,
1968,,,"$139,500,000.00","$147,500,000.00","$41,800,000.00",,"$135,800,000.00",,,
1969,,,"$128,850,000.00","$87,923,000.00","$37,900,000.00",,"$98,665,000.00",,,
1970,,,"$112,851,000.00","$150,900,000.00","$19,655,000.00",,"$128,304,000.00",,,
1971,,,"$115,956,000.00","$144,900,000.00","$12,898,000.00",,"$177,060,000.00",,,
1972,,,"$110,100,000.00","$291,500,000.00",$0.00,,"$187,500,000.00",,,
1973,,,"$126,200,000.00","$331,969,000.00",$0.00,,"$188,700,000.00",,,
1974,,,"$94,000,000.00","$392,482,000.00",$0.00,,"$159,000,000.00",,,
1975,,,"$136,315,000.00","$261,200,000.00","$19,800,000.00",,"$174,748,000.00",,,
1976,,,"$181,050,000.00","$287,982,000.00","$26,014,000.00",,"$225,930,000.00",,,
1977,,,"$188,050,000.00","$225,632,000.00","$24,843,000.00",,"$198,200,000.00",,,
1978,,,"$224,200,000.00","$147,200,000.00","$33,300,000.00",,"$234,800,000.00",,,
1979,,,"$282,900,000.00","$182,400,000.00","$40,100,000.00",,"$274,800,000.00",,,
1980,,,"$336,800,000.00","$219,900,000.00","$43,800,000.00",,"$331,620,000.00",,,
1981,,,"$323,700,000.00","$175,600,000.00","$42,188,000.00",,"$331,550,000.00",,,
1982,,,"$322,400,000.00","$210,000,000.00","$39,500,000.00","$282,400,000.00",,,,
1983,,,"$470,300,000.00","$186,400,000.00","$55,700,000.00","$285,800,000.00",,,,
1984,,,"$567,600,000.00","$217,400,000.00","$58,000,000.00","$238,400,000.00",,,,
1985,,,"$677,200,000.00","$290,900,000.00","$62,300,000.00",,"$374,100,000.00",,,
1986,,,"$569,300,000.00","$353,600,000.00","$66,100,000.00","$342,500,000.00",,,,
1987,,,"$554,000,000.00","$359,200,000.00","$71,800,000.00","$390,700,000.00",,,,
1988,,,"$614,400,000.00","$327,700,000.00","$72,200,000.00","$389,200,000.00",,,,
1989,,,"$737,000,000.00","$416,600,000.00","$79,000,000.00",,"$591,000,000.00",,,
1990,,,"$859,400,000.00","$390,848,000.00","$106,100,000.00",,"$642,000,000.00",,,
1991,,,"$969,200,000.00","$473,700,000.00","$137,400,000.00","$662,300,000.00","$850,800,000.00",,,
1992,,,"$1,036,700,000.00","$534,221,000.00","$157,600,000.00","$828,002,000.00","$985,100,000.00",,,
1993,,,"$1,034,861,000.00","$475,598,000.00","$139,500,000.00","$1,154,000,000.00",,,,
1994,,,"$1,149,000,000.00","$771,900,000.00","$186,800,000.00","$1,041,500,000.00",,,,
1995,,,"$1,187,400,000.00","$820,200,000.00","$140,500,000.00","$1,310,100,000.00",,,,
1996,,,"$1,025,300,000.00","$905,300,000.00","$109,600,000.00","$1,360,800,000.00",,,,
1997,"$1,969,300,000.00",,"$1,051,700,000.00","$917,600,000.00","$97,400,000.00","$1,361,600,000.00",,,,
1998,"$2,043,800,000.00",,,"$706,200,000.00","$214,200,000.00","$1,417,300,000.00",,,,
1999,"$2,119,200,000.00",,,"$782,800,000.00","$263,500,000.00","$1,413,800,000.00",,,,
